ผู้ใช้    : N3ITSPP04                                                                                                                                                                                                                                                     การไฟฟ้าส่วนภูมิภาค                                                                                                                                                                                                                                                   วันที่   : 16.06.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไคลเอนท์  : PED-400                                                                                                                                                                                                                                             รายงานสถิติของหน่วยงานการไฟฟ้า - แบบที่ 1                                                                                                                                                                                                                                       เวลา     : 10:22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โปรแกรม   : ZBLR001F1                                                                                                                                                                                                                                        การไฟฟ้าเขตภาคเหนือ 3 ลพบุรี ประจำเดือน 05.2014                                                                                                                                                                                                                                    หน้าที่  : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, รหัสกฟฟ.,กฟฟ.,10,11,20,30,40,50,60,70,80,90,91,           BOI-20,           BOI-30,           BOI-40,           BOI-90,           BOI-91,       รวมคิดเงิน,        ไฟสาธารณะ,        ไฟทางหลวง,          ไฟ สนง.,        ไฟลานกีฬา,       G1-กฟภ.รับ,     ไฟความมั่นคง,          BOI-PEA,        ไฟราชพิธี,    รวมไม่คิดเงิน,              รวม
, C08101,กฟอ.โคกสำโรง,"14,870.00","5,335.00","1,858.00",75,2,4,,3,121,,,,,,,,"22,268.00",420,50,9,3,105,,,,587,"22,855.00"
, C08102,กฟอ.สระโบสถ์,"5,554.00",871,322,9,,,,,42,,,,,,,,"6,798.00",106,7,2,,6,,,,121,"6,919.00"
, C08201,กฟอ.ชัยบาดาล,"11,747.00","5,584.00","1,812.00",90,18,8,8,7,245,,,,,,,,"19,519.00",229,38,5,,15,,,,287,"19,806.00"
, C08202,กฟอ.ลำสนธิ,"5,308.00","1,429.00",597,17,1,,1,,62,,,,,,,,"7,415.00",65,10,1,,4,,,,80,"7,495.00"
, C08301,กฟอ.บ้านหมี่,"11,622.00","5,340.00","1,727.00",59,5,1,1,7,134,,,,,,,,"18,896.00",288,16,2,,129,,,,435,"19,331.00"
, C08401,กฟอ.ท่าหลวง,"10,018.00","4,319.00","1,569.00",36,5,1,,,118,,,,,,,,"16,066.00",198,47,4,,15,,,,264,"16,330.00"
, C08501,กฟอ.หนองม่วง,"6,554.00","2,529.00","1,479.00",72,,,2,1,104,,,,,,,,"10,741.00",173,19,2,,18,,,,212,"10,953.00"
, C08502,กฟย.โคกเจริญ,"4,594.00",788,602,6,,,,,74,,,,,,,,"6,064.00",161,6,1,,5,,,,173,"6,237.00"
, C09101,กฟอ.หล่มสัก,"25,431.00","8,288.00","2,067.00",81,,3,1,,531,,,,,,,,"36,402.00",372,43,8,,73,,,,496,"36,898.00"
, C09102,กฟต.บ้านกลาง,"8,416.00","1,890.00",426,9,1,,17,,44,,,,,,,,"10,803.00",107,9,1,,5,,,,122,"10,925.00"
, C09103,กฟต.แคมป์สน,"3,595.00",953,623,11,,13,,,257,,,,,,,,"5,452.00",63,8,1,,13,,,,85,"5,537.00"
, C09104,กฟอ.น้ำหนาว,"3,169.00",468,305,5,,,,,127,,,,,,,,"4,074.00",44,5,3,,3,,,,55,"4,129.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ผู้ใช้    : N3ITSPP04                                                                                                                                                                                                                                                     การไฟฟ้าส่วนภูมิภาค                                                                                                                                                                                                                                                   วันที่   : 16.06.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไคลเอนท์  : PED-400                                                                                                                                                                                                                                             รายงานสถิติของหน่วยงานการไฟฟ้า - แบบที่ 1                                                                                                                                                                                                                                       เวลา     : 10:22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โปรแกรม   : ZBLR001F1                                                                                                                                                                                                                                        การไฟฟ้าเขตภาคเหนือ 3 ลพบุรี ประจำเดือน 05.2014                                                                                                                                                                                                                                    หน้าที่  : 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, รหัสกฟฟ.,กฟฟ.,10,11,20,30,40,50,60,70,80,90,91,           BOI-20,           BOI-30,           BOI-40,           BOI-90,           BOI-91,       รวมคิดเงิน,        ไฟสาธารณะ,        ไฟทางหลวง,          ไฟ สนง.,        ไฟลานกีฬา,       G1-กฟภ.รับ,     ไฟความมั่นคง,          BOI-PEA,        ไฟราชพิธี,    รวมไม่คิดเงิน,              รวม
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, C09201,กฟอ.หล่มเก่า,"9,964.00","2,645.00",960,35,,3,,,219,,,,,,,,"13,826.00",98,29,6,,37,,,,170,"13,996.00"
, C09202,กฟต.ตาดกลอย,"5,178.00",512,443,1,,,,,146,,,,,,,,"6,280.00",38,8,1,,1,,,,48,"6,328.00"
, C10101,กฟอ.ตาคลี,"8,771.00","7,306.00","1,915.00",72,4,2,2,1,162,,,,,,,,"18,235.00",208,11,4,4,26,,,,253,"18,488.00"
, C10102,กฟอ.ตากฟ้า,"7,937.00","3,130.00",817,38,1,1,4,,161,,,,,,,,"12,089.00",198,41,2,,3,,,,244,"12,333.00"
, C10103,กฟต.ช่องแค,"6,688.00","2,241.00",508,30,3,,1,,49,,,,,,,,"9,520.00",143,3,1,,17,,,,164,"9,684.00"
, C10105,กฟต.หัวหวาย,"4,742.00","1,780.00",461,9,4,1,,,59,1,,,,,,,"7,057.00",165,19,1,,2,,,,187,"7,244.00"
, C11101,กฟอ.ลาดยาว,"16,065.00","6,365.00","1,248.00",41,1,,2,,218,,,,,,,,"23,940.00",239,26,11,,19,,,,295,"24,235.00"
, C11102,กฟบ.หนองเบน,"5,272.00","2,889.00",462,28,1,2,,3,62,,,,,,,,"8,719.00",77,13,1,,7,,,,98,"8,817.00"
, C11104,กฟอ.แม่วงก์,"7,809.00","1,668.00",330,5,,,1,,75,,,,,,,,"9,888.00",58,12,1,,3,,,,74,"9,962.00"
, C11105,กฟก.ชุมตาบง,"3,403.00",814,142,5,,,,,55,,,,,,,,"4,419.00",2,3,1,,,,,,6,"4,425.00"
, C11106,กฟย.แม่เปิน,"3,985.00",633,127,5,,,2,,59,,,,,,,,"4,811.00",61,1,1,,,,,,63,"4,874.00"
, C12101,กฟอ.พัฒนานิคม,"8,820.00","5,174.00","2,946.00",158,27,5,3,2,204,,,,,,,,"17,339.00",209,35,4,,17,,,,265,"17,604.00"
, C12102,กฟย.บ้านแก่งเสือเต้น,"3,314.00","1,904.00","1,064.00",24,1,,2,10,36,,,,,,,,"6,355.00",29,18,2,,4,,,,53,"6,408.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*รวมจำนวนรายเขตการไฟฟ้าเขตภาคเหนือ 3 ลพบุรี,,"694,307.00","312,360.00","84,578.00","3,435.00",247,233,89,219,"14,361.00",2,,,,,,,"1,109,831.00","13,718.00","1,844.00",274,15,"3,081.00",,1,,"18,933.00","1,128,764.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, C01101,กฟจ.ลพบุรี,"3,250,071.48","14,327,929.33","5,388,245.96","10,317,941.66","24,377,448.61","765,644.35","9,300.20",338,"214,578.60",,,,,,,,"58,651,498.19","526,828.18","209,332.76","156,577.50",11,"22,109.00",,,,"914,858.44","59,566,356.63"
, C01201,กฟอ.ท่าวุ้ง,"1,113,274.81","1,836,966.70","868,604.52","501,227.68","6,949,200.00","61,348.82",,"11,519.99","17,151.00",,,,,,,,"11,359,293.52","135,836.00","60,084.60","10,333.60",,780,,,,"207,034.20","11,566,327.72"
, C02101,กฟจ.นครสวรรค์,"3,059,057.86","15,276,830.69","7,330,529.98","11,232,965.47","11,302,400.17","1,355,669.12",135,"93,117.81","505,334.40",,,,,,,,"50,156,040.50","620,225.28","185,601.70","39,056.92",,"4,577.00",,,,"849,460.90","51,005,501.40"
, C02102,กฟอ.โกรกพระ,"564,581.33","785,390.55","333,988.55","370,078.03",,"4,049.60",612,"114,218.36","15,178.00",,,,,,,,"2,188,096.42","55,879.40","12,675.04","1,803.00",,135,,,,"70,492.44","2,258,588.86"
, C02103,กฟอ.เก้าเลี้ยว,"638,296.00","901,671.00","339,294.97","374,735.96","756,212.00",,,"92,856.67","8,274.00",,,,,,,,"3,111,340.60","60,145.00","8,547.20","1,575.00",,210,,,,"70,477.20","3,181,817.80"
, C02201,กฟอ.ท่าตะโก,"1,141,023.38","1,176,349.76","690,806.88","1,376,694.47","972,480.00",,,,"25,807.00",,,,,,,,"5,383,161.49","87,437.95","55,877.80","7,793.00",,90,,,,"151,198.75","5,534,360.24"
, C02203,กฟอ.ไพศาลี,"1,178,265.00","771,356.40","592,531.60","351,412.01",,,,,"33,556.00",,,,,,,,"2,927,121.01","78,384.25","34,038.04","1,100.00",,105,,,,"113,627.29","3,040,748.30"
, C02301,กฟอ.ชุมแสง,"1,318,391.50","1,487,739.50","755,660.98","950,300.33",,,,"886,240.66","39,291.70",,,,,,,,"5,437,624.67","160,694.66","28,534.50","6,887.00",,375,,,,"196,491.16","5,634,115.83"
, C02401,กฟอ.หนองบัว,"1,167,147.00","1,045,311.57","750,681.27","1,862,264.30","453,508.60","28,656.71",,,"104,850.38",,,,,,,,"5,412,419.83","84,138.00","47,948.00","15,022.00",,90,,,,"147,198.00","5,559,617.83"
, C02501,กฟอ.บรรพตพิสัย,"1,479,301.40","2,006,840.00","809,336.70","1,295,455.89","1,612,494.00",,"3,108.00","224,891.38","20,770.00",,,,,,,,"7,452,197.37","89,333.00","43,762.14","5,275.00",,120,,,,"138,490.14","7,590,687.51"
, C02601,กฟอ.พยุหะคีรี,"1,121,301.00","2,164,978.57","771,854.10","1,518,935.99","3,063,580.00","16,542.56",,"241,947.08","70,479.80",,,,,,,,"8,969,619.10","135,838.00","71,683.60","5,730.00",,675,,,,"213,926.60","9,183,545.70"
, C03101,กฟจ.อุทัยธานี,"989,809.82","3,053,362.77","1,195,058.55","1,362,595.69","1,107,740.80","149,033.49",748.27,"298,171.55","88,993.79",,,,,,,,"8,245,514.73","270,495.13","111,599.80","9,192.24",,255,,,,"391,542.17","8,637,056.90"
, C03103,กฟอ.ทัพทัน,"743,261.57","769,829.75","357,550.55","172,845.57","10,170.00",,,"3,250.24","21,234.00",,,,,,,,"2,078,141.68","80,864.80","46,321.00","1,236.00",,90,,,,"128,511.80","2,206,653.48"
, C03104,กฟอ.สว่างอารมณ์,"538,258.20","450,686.80","254,438.79","119,407.69","20,640.00",,"5,591.00","1,114.10","14,449.10",,,,,,,,"1,404,585.68","63,075.97","61,730.86",869,,15,,,,"125,690.83","1,530,276.51"
, C03105,กฟอ.หนองขาหย่าง,"270,701.00","378,379.40","170,490.82","109,445.44",,,,147,"5,514.00",,,,,,,,"934,677.66","18,221.98","31,860.20","12,201.00",,90,,,,"62,373.18","997,050.84"
, C03201,กฟอ.หนองฉาง,"785,719.00","1,205,560.00","597,411.06","488,181.53","214,813.20","27,572.57",97,,"13,639.00",,,,,,,,"3,332,993.36","87,967.23","63,530.64","14,092.00",,135,,,,"165,724.87","3,498,718.23"
, C03202,กฟอ.ห้วยคต,"411,747.42","398,751.95","194,977.48","94,390.60",,,,69,"8,547.00",,,,,,,,"1,108,483.45","17,442.00","33,285.40",630.45,,15,,,,"51,372.85","1,159,856.30"
, C03203,กฟต.เมืองการุ้ง,"478,202.97","372,999.72","202,485.10","68,403.55",,,46,,"3,272.00",,,,,,,,"1,125,409.34","44,114.21","31,965.00",497,,,,,,"76,576.21","1,201,985.55"
, C03204,กฟอ.บ้านไร่,"733,567.00","755,520.00","465,497.87","292,170.72","265,360.00","50,626.65",,64,"21,104.00",,,,,,,,"2,583,910.24","37,201.20","82,027.38","1,280.00",,15,,,,"120,523.58","2,704,433.82"
, C03205,กฟอ.ลานสัก,"1,034,482.16","876,079.61","453,931.71","351,155.64","11,940.00","5,979.25",,"56,018.86","22,669.43",,,,,,,,"2,812,256.66","48,494.00","30,670.69","1,768.00",,60,,,,"80,992.69","2,893,249.35"
, C04101,กฟจ.ชัยนาท,"1,580,527.67","3,654,818.65","2,558,260.84","2,426,428.91","1,978,151.49","293,982.18",,"108,330.00","120,973.00",,,,,,,,"12,721,472.74","318,755.40","201,171.32","31,264.00",187,509,,,,"551,886.72","13,273,359.46"
, C04102,กฟอ.สรรพยา,"475,523.75","534,337.48","293,931.00","496,154.76","395,008.50",,,,"23,598.67",,,,,,,,"2,218,554.16","48,272.47","16,428.20","1,181.00",,375,,,,"66,256.67","2,284,810.83"
, C04201,กฟอ.มโนรมย์,"693,955.00","1,099,717.80","546,625.88","767,934.72","3,819,300.00",,,"78,735.76","21,961.00",,,,,,,,"7,028,230.16","98,451.56","52,719.56","10,650.60",,180,,,,"162,001.72","7,190,231.88"
, C04301,กฟอ.หันคา,"1,030,524.00","1,276,931.89","1,004,736.58","1,322,795.79","4,493,956.00","9,184.80",,911,"28,983.10",,,,,,,,"9,168,023.16","154,802.00","58,498.20","13,795.00",,165,,,,"227,260.20","9,395,283.36"
, C04304,กฟก.เนินขาม,"405,395.00","245,200.00","210,693.40","252,900.48",,,,,"3,614.00",,,,,,,,"1,117,802.88","33,263.40","11,526.40","1,934.00",,75,,,,"46,798.80","1,164,601.68"
, C04501,กฟอ.สรรคบุรี,"1,149,919.00","1,276,585.00","888,311.10","1,264,769.73","1,301,622.00",,,"26,926.98","18,296.00",,,,,,,,"5,926,429.81","142,825.00","37,751.20","6,000.50",,480,,,,"187,056.70","6,113,486.51"
, C04601,กฟอ.วัดสิงห์,"473,086.00","683,916.91","649,023.32","729,681.18",,"2,356.60",,"54,529.30","14,784.00","22,020.00",,,,,,,"2,629,397.31","61,327.73","18,983.80","4,536.00",,165,,,,"85,012.53","2,714,409.84"
, C04602,กฟอ.หนองมะโมง,"356,131.00","224,938.10","297,545.87","197,927.07",,,,,"8,229.00",,,,,,,,"1,084,771.04","18,171.00","3,947.40","1,305.00",7,15,,,,"23,445.40","1,108,216.44"
, C05101,กฟจ.สิงห์บุรี,"874,049.00","3,078,488.69","1,847,869.51","2,008,413.82","9,137,956.00","319,615.61",,598.74,"203,474.50",,,,,,,,"17,470,465.87","228,264.74","196,679.42","20,227.90",,"1,470.00",,,,"446,642.06","17,917,107.93"
, C05102,กฟอ.บางระจัน,"521,920.00","939,445.40","521,201.24","527,994.79","2,478,716.00",,,,"21,306.00",,,,,,,,"5,010,583.43","86,202.00","33,675.60",900,,300,,,,"121,077.60","5,131,661.03"
, C05201,กฟอ.อินทร์บุรี,"903,877.00","1,682,016.19","989,379.81","2,615,835.17","5,995,909.20",,,753,"24,998.00",,,,,,,,"12,212,768.37","124,572.80","94,322.20","6,913.00",281,600,,,,"226,689.00","12,439,457.37"
, C05301,กฟอ.ค่ายบางระจัน,"1,009,484.00","1,357,931.10","644,040.04","787,641.62","2,478,832.00","6,840.93",,309.06,"26,051.00",,,,,,,,"6,311,129.75","107,169.40","54,881.60","11,896.00",104,555,,,,"174,606.00","6,485,735.75"
, C05302,กฟอ.ท่าช้าง,"316,764.00","500,007.50","232,517.50","256,767.68",800,,,"3,018.00","7,075.00",,,,,,,,"1,316,949.68","49,210.20","14,689.20",947,50,345,,,,"65,241.40","1,382,191.08"
, C05401,กฟอ.พรหมบุรี,"346,148.00","754,444.02","434,718.00","1,009,894.36","18,394,986.00",,,,"133,482.50",,,,,,,,"21,073,672.88","71,990.20","37,041.02","1,352.00",,375,,,,"110,758.22","21,184,431.10"
, C06101,กฟจ.เพชรบูรณ์,"2,999,567.10","4,978,728.70","3,128,781.15","3,986,746.92","1,570,940.00","310,835.36","1,027.00",,"114,308.30",,,,,,,,"17,090,934.53","406,612.71","202,263.31","13,199.70",,"1,065.00",,,,"623,140.72","17,714,075.25"
, C06102,กฟต.วังชมภู,"631,261.78","493,684.20","446,604.71","979,035.42","859,500.00",,,,"13,313.00",,,,,,,,"3,423,399.11","57,504.00","51,430.40","1,199.00",,165,,,,"110,298.40","3,533,697.51"
, C06103,กฟอ.เขาค้อ,"160,501.20","139,217.50","190,416.47","63,043.21",,"6,952.62",,,"15,619.00",,,,,,,,"575,750.00","7,246.00","7,896.00",606,,480,,,,"16,228.00","591,978.00"
, C06201,กฟอ.ชนแดน,"1,290,629.00","894,935.81","918,166.50","754,342.88",,,,,"19,361.80",,,,,,,,"3,877,435.99","71,265.00","36,311.20","2,466.00",,135,,,,"110,177.20","3,987,613.19"
, C06202,กฟอ.วังโป่ง,"478,373.00","292,622.00","386,598.40","127,094.50",,,,,"8,371.00",,,,,,,,"1,293,058.90","31,405.00","18,393.20",870,,30,,,,"50,698.20","1,343,757.10"
, C07101,กฟอ.หนองไผ่,"1,846,032.00","1,525,149.40","1,439,680.89","1,317,212.06","857,380.00","26,338.64",,4,"37,038.00",,,,,,,,"7,048,834.99","156,041.60","74,113.20","6,579.00",,255,,,,"236,988.80","7,285,823.79"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ผู้ใช้    : N3ITSPP04                                                                                                                                                                                                                                                     การไฟฟ้าส่วนภูมิภาค                                                                                                                                                                                                                                                   วันที่   : 16.06.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไคลเอนท์  : PED-400                                                                                                                                                                                                                                             รายงานสถิติของหน่วยงานการไฟฟ้า - แบบที่ 1                                                                                                                                                                                                                                       เวลา     : 10:22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โปรแกรม   : ZBLR001F1                                                                                                                                                                                                                                        การไฟฟ้าเขตภาคเหนือ 3 ลพบุรี ประจำเดือน 05.2014                                                                                                                                                                                                                                    หน้าที่  : 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, รหัสกฟฟ.,กฟฟ.,10,11,20,30,40,50,60,70,80,90,91,           BOI-20,           BOI-30,           BOI-40,           BOI-90,           BOI-91,       รวมคิดเงิน,        ไฟสาธารณะ,        ไฟทางหลวง,          ไฟ สนง.,        ไฟลานกีฬา,       G1-กฟภ.รับ,     ไฟความมั่นคง,          BOI-PEA,        ไฟราชพิธี,    รวมไม่คิดเงิน,              รวม
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, C07201,กฟอ.วิเชียรบุรี,"1,373,105.00","1,282,615.20","942,530.06","1,143,136.74","582,500.00","48,390.99","4,119.00","1,871.99","43,343.60",,,,,,,,"5,421,612.58","116,694.00","43,140.00","3,654.00",,180,,,,"163,668.00","5,585,280.58"
, C07203,กฟต.พุเตย,"781,991.80","736,542.10","486,599.90","619,972.51","152,600.00","6,791.56",,"1,015.98","12,322.30",,,,,,,,"2,797,836.15","61,860.00","28,427.00","1,745.00",,30,,,,"92,062.00","2,889,898.15"
, C07301,กฟอ.บึงสามพัน,"1,434,355.20","1,549,431.00","1,199,988.21","1,397,450.58","3,894,247.89","36,192.83","1,890.00",439.72,"33,874.60",,,,,,,,"9,547,870.03","102,710.40","61,523.00","12,167.00",,150,,,,"176,550.40","9,724,420.43"
, C07401,กฟอ.ศรีเทพ,"1,222,606.00","1,080,514.00","625,000.98","575,130.96","470,280.00","27,353.50",,"8,780.99","38,980.30",,,,,,,,"4,048,646.73","101,225.00","51,781.00","4,773.00",,45,,,,"157,824.00","4,206,470.73"
, C08101,กฟอ.โคกสำโรง,"1,471,558.00","1,801,501.60","1,238,874.37","2,122,988.81","118,654.50","44,981.57",,265,"75,766.50",,,,,,,,"6,874,590.35","163,073.80","74,212.92","13,279.00",380,"1,575.00",,,,"252,520.72","7,127,111.07"
, C08102,กฟอ.สระโบสถ์,"492,818.00","260,611.00","193,488.66","239,767.82",,,,,"6,559.00",,,,,,,,"1,193,244.48","35,321.40","10,711.80","1,095.00",,90,,,,"47,218.20","1,240,462.68"
, C08201,กฟอ.ชัยบาดาล,"1,151,281.00","1,885,489.89","1,769,868.76","2,690,102.73","8,327,901.74","161,743.12","22,196.02","35,499.19","40,794.40",,,,,,,,"16,084,876.85","136,022.40","56,075.60","21,258.00",,225,,,,"213,581.00","16,298,457.85"
, C08202,กฟอ.ลำสนธิ,"480,781.80","436,549.01","301,581.94","463,997.12","40,500.00",,26,,"6,323.00",,,,,,,,"1,729,758.87","19,275.00","6,492.40",661,,60,,,,"26,488.40","1,756,247.27"
, C08301,กฟอ.บ้านหมี่,"1,149,793.70","1,813,533.22","1,013,666.04","1,742,401.86","1,219,334.00","5,855.92","2,283.07","232,700.14","24,912.00",,,,,,,,"7,204,479.95","189,752.48","31,586.20","3,812.00",,"1,935.00",,,,"227,085.68","7,431,565.63"
, C08401,กฟอ.ท่าหลวง,"973,426.00","1,394,764.70","888,293.65","584,633.36","2,182,030.00","7,561.56",,,"27,193.00",,,,,,,,"6,057,902.27","62,252.00","66,324.80","9,738.00",,210,,,,"138,524.80","6,196,427.07"
