ผู้ใช้    : N3ITSPP04                                                                                                                                                                                                                                                     การไฟฟ้าส่วนภูมิภาค                                                                                                                                                                                                                                                   วันที่   : 16.06.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไคลเอนท์  : PED-400                                                                                                                                                                                                                                             รายงานสถิติของหน่วยงานการไฟฟ้า - แบบที่ 1                                                                                                                                                                                                                                       เวลา     : 10:22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
โปรแกรม   : ZBLR001F1                                                                                                                                                                                                                                        การไฟฟ้าเขตภาคเหนือ 3 ลพบุรี ประจำเดือน 05.2014                                                                                                                                                                                                                                    หน้าที่  : 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, รหัสกฟฟ.,กฟฟ.,10,11,20,30,40,50,60,70,80,90,91,           BOI-20,           BOI-30,           BOI-40,           BOI-90,           BOI-91,       รวมคิดเงิน,        ไฟสาธารณะ,        ไฟทางหลวง,          ไฟ สนง.,        ไฟลานกีฬา,       G1-กฟภ.รับ,     ไฟความมั่นคง,          BOI-PEA,        ไฟราชพิธี,    รวมไม่คิดเงิน,              รวม
, C08401,กฟอ.ท่าหลวง,"3,614,318.29","5,851,048.10","3,840,551.63","2,478,803.30","8,365,462.19","27,765.69",,,"191,252.26",,,,,,,,"24,369,201.46",,,,,689.08,,,,689.08,"24,369,890.54"
, C08501,กฟอ.หนองม่วง,"2,354,721.65","3,654,361.22","3,275,902.88","9,266,292.22",,,67.28,289.45,"260,269.34",,,,,,,,"18,811,904.04",,,,,836.82,,,,836.82,"18,812,740.86"
, C08502,กฟย.โคกเจริญ,"1,508,630.10","961,110.07","1,201,747.10","473,656.53",,,,,"48,410.90",,,,,,,,"4,193,554.70",,,,,232.45,,,,232.45,"4,193,787.15"
, C09101,กฟอ.หล่มสัก,"7,951,028.66","10,577,402.31","7,166,049.08","8,303,435.82",,"249,816.28","7,058.84",,"962,117.14",,,,,,,,"35,216,908.13",,,,,"3,393.77",,,,"3,393.77","35,220,301.90"
, C09102,กฟต.บ้านกลาง,"2,266,169.35","1,767,757.77","1,063,825.29","893,178.07","760,131.50",,"76,926.54",,"35,535.34",,,,,,,,"6,863,523.86",,,,,232.45,,,,232.45,"6,863,756.31"
, C09103,กฟต.แคมป์สน,"858,790.71","910,883.65","1,715,390.95","625,292.11",,"531,697.43",,,"527,736.95",,,,,,,,"5,169,791.80",,,,,604.37,,,,604.37,"5,170,396.17"
, C09104,กฟอ.น้ำหนาว,"598,521.37","358,350.87","496,689.00","194,999.16",,,,,"94,465.61",,,,,,,,"1,743,026.01",,,,,139.47,,,,139.47,"1,743,165.48"
, C09201,กฟอ.หล่มเก่า,"2,828,332.38","2,843,473.05","2,309,783.49","2,929,915.10",,"36,657.85",,,"184,032.74",,,,,,,,"11,132,194.61",,,,,"1,720.13",,,,"1,720.13","11,133,914.74"
, C09202,กฟต.ตาดกลอย,"1,242,451.77","402,772.00","683,120.00","24,065.96",,,,,"72,753.79",,,,,,,,"2,425,163.52",,,,,46.49,,,,46.49,"2,425,210.01"
, C10101,กฟอ.ตาคลี,"3,243,109.06","10,667,160.88","5,508,704.93","8,480,400.49","5,928,866.52","109,705.90","1,459.67",571.85,"143,271.87",,,,,,,,"34,083,251.17",,,,"1,880.00","1,208.74",,,,"3,088.74","34,086,339.91"
, C10102,กฟอ.ตากฟ้า,"2,691,664.71","3,784,665.37","2,359,494.77","3,319,950.39","1,158,138.95","31,577.37","1,499.96",,"119,307.53",,,,,,,,"13,466,299.05",,,,,139.47,,,,139.47,"13,466,438.52"
, C10103,กฟต.ช่องแค,"2,353,478.40","3,022,576.61","1,369,754.55","2,089,830.87","4,874,294.60",,20,,"41,377.47",,,,,,,,"13,751,332.50",,,,,790.33,,,,790.33,"13,752,122.83"
, C10105,กฟต.หัวหวาย,"1,671,339.94","2,187,954.10","1,209,804.98","553,989.61","12,181,975.91","109,502.65",,,"116,069.36","2,488,184.95",,,,,,,"20,518,821.50",,,,,92.98,,,,92.98,"20,518,914.48"
, C11101,กฟอ.ลาดยาว,"5,640,740.01","8,507,087.15","3,928,348.80","2,829,845.24","296,788.57",,"3,676.95",,"260,573.97",,,,,,,,"21,467,060.69",,,,,883.31,,,,883.31,"21,467,944.00"
, C11102,กฟบ.หนองเบน,"1,999,382.76","3,987,431.97","1,694,726.95","2,803,378.62","113,694.55","42,564.27",,"3,738.03","119,760.39",,,,,,,,"10,764,677.54",,,,,325.43,,,,325.43,"10,765,002.97"
, C11104,กฟอ.แม่วงก์,"2,544,613.08","1,950,410.93","929,238.71","271,288.83",,,"3,348.56",,"153,276.42",,,,,,,,"5,852,176.53",,,,,139.47,,,,139.47,"5,852,316.00"
, C11105,กฟก.ชุมตาบง,"1,084,782.42","1,085,773.27","444,288.41","145,270.05",,,,,"44,169.77",,,,,,,,"2,804,283.92",,,,,,,,,,"2,804,283.92"
, C11106,กฟย.แม่เปิน,"1,244,998.83","803,155.80","490,941.78","152,466.66",,,"2,078.53",,"71,044.36",,,,,,,,"2,764,685.96",,,,,,,,,,"2,764,685.96"
, C12101,กฟอ.พัฒนานิคม,"3,394,537.02","7,876,279.00","10,161,423.57","27,982,194.28","159,269,112.08","379,593.54","1,386.35","1,091,923.07","554,993.15",,,,,,,,"210,711,442.06",,,,,790.33,,,,790.33,"210,712,232.39"
, C12102,กฟย.บ้านแก่งเสือเต้น,"1,240,445.60","2,629,414.28","1,897,719.43","2,753,037.31","484,247.45",,49.12,"45,677.44","116,647.68",,,,,,,,"9,167,238.31",,,,,185.96,,,,185.96,"9,167,424.27"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*รวมจำนวนเงินก่อน VATเขตการไฟฟ้าเขตภาคเหนือ 3 ลพบุรี,,"233,160,705.40","438,322,573.55","261,977,591.45","344,651,579.04","628,691,182.17","15,876,302.92","338,477.79","10,033,979.76","21,011,706.55","2,729,427.48",,,"19,771.94",,,,"1,956,813,298.05",,,,"5,135.07","143,097.13",,"6,590.65",,"154,822.85","1,956,968,120.90"
